DateTime,CLOSE
2011-05-13,3647.631
2011-05-16,3627.76
2011-05-17,3629.398
2011-05-18,3655.518
2011-05-19,3635.841
2011-05-20,3631.619
2011-05-23,3508.694
2011-05-24,3510.264
2011-05-25,3469.131
2011-05-26,3447.892
2011-05-27,3392.377
2011-05-30,3362.27
2011-05-31,3423.782
2011-06-01,3440.537
2011-06-02,3388.541
2011-06-03,3432.729
2011-06-07,3458.145
2011-06-08,3468.075
2011-06-09,3397.602
2011-06-10,3407.1
2011-06-13,3397.93
2011-06-14,3448.501
2011-06-15,3415.572
2011-06-16,3353.318
2011-06-17,3315.636
2011-06-20,3285.562
2011-06-21,3326.553
2011-06-22,3323.38
2011-06-23,3380.999
2011-06-24,3460.726
2011-06-27,3485.794
2011-06-28,3492.893
2011-06-29,3446.54
2011-06-30,3496.739
2011-07-01,3507.994
2011-07-04,3590.998
2011-07-05,3602.282
2011-07-06,3601.898
2011-07-07,3593.652
2011-07-08,3596.059
2011-07-11,3612.672
2011-07-12,3552.077
2011-07-13,3614.835
2011-07-14,3635.623
2011-07-15,3655.582
2011-07-18,3652.593
2011-07-19,3616.539
2011-07-20,3616.388
2011-07-21,3573.986
2011-07-22,3586.674
2011-07-25,3458.394
2011-07-26,3471.906
2011-07-27,3511.529
2011-07-28,3491.167
2011-07-29,3470.446
2011-08-01,3481.104
2011-08-02,3457.892
2011-08-03,3462.98
2011-08-04,3473.524
2011-08-05,3400.429
2011-08-08,3257.112
2011-08-09,3256.304
2011-08-10,3294.261
2011-08-11,3348.175
2011-08-12,3370.212
2011-08-15,3419.895
2011-08-16,3395.637
2011-08-17,3384.14
2011-08-18,3323.582
2011-08-19,3292.86
2011-08-22,3263.782
2011-08-23,3316.38
2011-08-24,3307.902
2011-08-25,3397.274
2011-08-26,3400.345
2011-08-29,3356.705
2011-08-30,3336.009
2011-08-31,3331.982
2011-09-01,3313.778
2011-09-02,3276.955
2011-09-05,3203.01
2011-09-06,3179.7
2011-09-07,3249.364
2011-09-08,3219.831
2011-09-09,3208.336
2011-09-13,3165.217
2011-09-14,3189.476
2011-09-15,3188.574
2011-09-16,3192.084
2011-09-19,3129.022
2011-09-20,3143.218
2011-09-21,3236.144
2011-09-22,3139.471
2011-09-23,3117.811
2011-09-26,3057.857
2011-09-27,3080.886
2011-09-28,3039.791
2011-09-29,2981.468
2011-09-30,2972.772
2011-10-10,2950.187
2011-10-11,2943.765
2011-10-12,3049.376
2011-10-13,3079.313
2011-10-14,3067.602
2011-10-17,3080.959
2011-10-18,2992.026
2011-10-19,2979.855
2011-10-20,2901.724
2011-10-21,2871.394
2011-10-24,2938.164
2011-10-25,3003.89
2011-10-26,3033.196
2011-10-27,3038.43
2011-10-28,3100.589
2011-10-31,3100.438
2011-11-01,3102.531
2011-11-02,3155.777
2011-11-03,3164.567
2011-11-04,3187.575
2011-11-07,3164.373
2011-11-08,3142.486
2011-11-09,3180.284
2011-11-10,3127.82
2011-11-11,3124.664
2011-11-14,3193.561
2011-11-15,3199.471
2011-11-16,3115.883
2011-11-17,3109.424
2011-11-18,3033.943
2011-11-21,3037.405
2011-11-22,3035.623
2011-11-23,3013.378
2011-11-24,3014.869
2011-11-25,2993.836
2011-11-28,2997.055
2011-11-29,3041.405
2011-11-30,2929.286
2011-12-01,2995.854
2011-12-02,2951.963
2011-12-05,2887.603
2011-12-06,2884.757
2011-12-07,2896.423
2011-12-08,2894.187
2011-12-09,2868.239
2011-12-12,2836.174
2011-12-13,2757.904
2011-12-14,2720.681
2011-12-15,2654.353
2011-12-16,2718.427
2011-12-19,2717.108
2011-12-20,2708.549
2011-12-21,2656.214
2011-12-22,2641.151
2011-12-23,2662.012
2011-12-26,2639.32
2011-12-27,2589.547
2011-12-28,2584.89
2011-12-29,2587.587
2011-12-30,2629.347
2012-01-04,2571.951
2012-01-05,2513.699
2012-01-06,2527.247
2012-01-09,2619.638
2012-01-10,2713.529
2012-01-11,2707.796
2012-01-12,2706.03
2012-01-13,2638.112
2012-01-16,2570.845
2012-01-17,2701.592
2012-01-18,2650.583
2012-01-19,2690.351
2012-01-20,2728.343
2012-01-30,2694.404
2012-01-31,2697.423
2012-02-01,2667.517
2012-02-02,2725.674
2012-02-03,2757.062
2012-02-06,2766.554
2012-02-07,2717.702
2012-02-08,2792.748
2012-02-09,2802.279
2012-02-10,2811.136
2012-02-13,2822.687
2012-02-14,2817.058
2012-02-15,2853.766
2012-02-16,2845.036
2012-02-17,2841.682
2012-02-20,2847.056
2012-02-21,2875.493
2012-02-22,2922.194
2012-02-23,2931.251
2012-02-24,2974.595
2012-02-27,2982.534
2012-02-28,2977.756
